INSERT INTO MECZE VALUES ('1', '17', '14', '5', '5', to_date('22.6.2013', 'dd/mm/yyyy'), '1');
INSERT INTO MECZE VALUES ('43', '1', '8', '2', '2', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('44', '15', '15', '2', '4', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('45', '6', '6', '0', '3', to_date('15.7.2013', 'dd/mm/yyyy'), '5');
INSERT INTO MECZE VALUES ('46', '14', '10', '1', '0', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('47', '6', '5', '0', '2', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('48', '9', '7', '1', '5', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('49', '12', '16', '0', '1', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('50', '11', '11', '0', '5', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('51', '17', '8', '5', '2', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('52', '3', '4', '2', '5', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('53', '15', '2', '4', '3', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('54', '13', '13', '0', '5', to_date('22.7.2013', 'dd/mm/yyyy'), '6');
INSERT INTO MECZE VALUES ('55', '9', '1', '3', '1', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('56', '15', '7', '1', '3', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('57', '5', '13', '2', '0', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('58', '10', '17', '0', '2', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('59', '6', '3', '5', '2', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('60', '14', '2', '0', '0', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('61', '11', '8', '2', '5', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('62', '16', '4', '2', '5', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('63', '12', '12', '4', '3', to_date('29.7.2013', 'dd/mm/yyyy'), '7');
INSERT INTO MECZE VALUES ('64', '10', '9', '2', '3', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('65', '4', '6', '4', '2', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('66', '1', '13', '1', '0', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('67', '17', '3', '5', '0', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('68', '15', '2', '1', '5', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('69', '11', '14', '4', '5', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('70', '12', '8', '2', '2', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('71', '5', '7', '5', '0', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('72', '16', '16', '3', '1', to_date('1.8.2013', 'dd/mm/yyyy'), '8');
INSERT INTO MECZE VALUES ('73', '15', '7', '2', '1', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('74', '5', '13', '3', '3', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('75', '17', '11', '5', '0', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('76', '10', '2', '2', '3', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('77', '6', '12', '5', '1', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('78', '3', '14', '1', '2', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('79', '4', '4', '4', '3', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('80', '9', '1', '1', '4', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('81', '16', '16', '1', '1', to_date('8.8.2013', 'dd/mm/yyyy'), '9');
INSERT INTO MECZE VALUES ('82', '17', '7', '1', '5', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('83', '4', '2', '2', '1', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('84', '6', '16', '5', '0', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('85', '8', '9', '2', '1', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('86', '15', '3', '5', '1', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('87', '13', '1', '0', '2', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('88', '5', '14', '5', '0', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('89', '11', '12', '0', '4', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('90', '10', '10', '0', '2', to_date('15.8.2013', 'dd/mm/yyyy'), '10');
INSERT INTO MECZE VALUES ('91', '11', '7', '3', '2', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('92', '9', '16', '2', '5', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('93', '1', '4', '3', '2', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('94', '5', '13', '5', '3', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('95', '10', '6', '4', '2', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('96', '14', '15', '1', '5', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('97', '8', '2', '2', '1', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('98', '12', '17', '2', '0', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('99', '3', '3', '0', '5', to_date('22.8.2013', 'dd/mm/yyyy'), '11');
INSERT INTO MECZE VALUES ('100', '10', '6', '5', '1', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('101', '5', '15', '1', '2', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('102', '3', '7', '2', '5', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('103', '17', '14', '5', '1', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('104', '16', '11', '5', '3', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('105', '1', '13', '1', '2', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('106', '8', '2', '1', '0', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('107', '12', '9', '3', '5', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('108', '4', '4', '2', '2', to_date('29.8.2013', 'dd/mm/yyyy'), '12');
INSERT INTO MECZE VALUES ('109', '12', '16', '5', '2', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('110', '3', '14', '2', '4', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('111', '9', '15', '1', '2', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('112', '2', '7', '1', '4', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('113', '1', '5', '1', '0', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('114', '17', '13', '2', '4', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('115', '4', '11', '1', '2', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('116', '6', '10', '1', '2', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('117', '8', '8', '5', '4', to_date('1.9.2013', 'dd/mm/yyyy'), '13');
INSERT INTO MECZE VALUES ('118', '17', '11', '4', '0', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('119', '3', '8', '4', '5', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('120', '5', '6', '1', '0', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('121', '15', '4', '4', '4', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('122', '10', '13', '3', '2', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('123', '14', '7', '1', '2', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('124', '9', '2', '2', '4', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('125', '16', '16', '5', '1', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('126', '1', '12', '4', '4', to_date('8.9.2013', 'dd/mm/yyyy'), '14');
INSERT INTO MECZE VALUES ('127', '17', '9', '2', '4', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('128', '16', '7', '3', '5', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('129', '5', '14', '0', '2', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('130', '11', '15', '2', '1', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('131', '1', '8', '0', '1', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('132', '6', '3', '1', '5', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('133', '4', '13', '0', '1', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('134', '12', '2', '1', '2', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('135', '10', '10', '5', '1', to_date('15.9.2013', 'dd/mm/yyyy'), '15');
INSERT INTO MECZE VALUES ('136', '5', '1', '0', '0', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('137', '2', '2', '1', '0', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('138', '8', '3', '1', '4', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('139', '15', '10', '1', '1', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('140', '9', '13', '0', '3', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('141', '12', '11', '3', '3', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('142', '17', '14', '2', '2', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('143', '7', '16', '3', '0', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('144', '6', '4', '3', '3', to_date('22.9.2013', 'dd/mm/yyyy'), '16');
INSERT INTO MECZE VALUES ('145', '12', '6', '1', '4', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('146', '4', '3', '5', '0', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('147', '1', '2', '0', '4', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('148', '14', '10', '2', '5', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('149', '13', '5', '5', '1', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('150', '9', '7', '1', '2', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('151', '17', '8', '0', '1', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('152', '16', '15', '3', '5', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('153', '11', '11', '0', '2', to_date('29.9.2013', 'dd/mm/yyyy'), '17');
INSERT INTO MECZE VALUES ('154', '14', '17', '0', '4', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('155', '7', '15', '1', '2', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('156', '6', '5', '0', '1', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('157', '10', '10', '2', '0', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('158', '13', '1', '1', '3', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('159', '4', '9', '2', '2', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('160', '3', '3', '0', '2', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('161', '11', '16', '0', '1', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('162', '12', '2', '5', '2', to_date('1.10.2013', 'dd/mm/yyyy'), '18');
INSERT INTO MECZE VALUES ('163', '2', '15', '3', '4', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('164', '4', '5', '5', '5', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('165', '10', '17', '5', '4', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('166', '6', '1', '4', '1', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('167', '16', '12', '3', '4', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('168', '7', '3', '5', '5', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('169', '11', '8', '4', '1', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('170', '14', '14', '3', '4', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('171', '13', '13', '5', '0', to_date('8.10.2013', 'dd/mm/yyyy'), '19');
INSERT INTO MECZE VALUES ('172', '16', '2', '5', '3', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('173', '14', '13', '3', '2', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('174', '3', '12', '1', '1', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('175', '1', '1', '0', '3', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('176', '7', '15', '0', '4', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('177', '6', '11', '1', '0', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('178', '10', '17', '5', '3', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('179', '8', '5', '5', '1', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('180', '4', '4', '4', '1', to_date('15.10.2013', 'dd/mm/yyyy'), '20');
INSERT INTO MECZE VALUES ('181', '9', '9', '2', '0', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('182', '15', '12', '1', '2', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('183', '8', '11', '0', '5', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('184', '5', '10', '3', '4', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('185', '7', '7', '0', '4', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('186', '3', '14', '5', '5', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('187', '13', '13', '2', '0', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('188', '2', '2', '5', '5', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('189', '16', '1', '3', '0', to_date('22.10.2013', 'dd/mm/yyyy'), '21');
INSERT INTO MECZE VALUES ('190', '2', '5', '4', '0', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('191', '7', '13', '0', '4', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('192', '14', '3', '4', '3', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('193', '9', '4', '5', '5', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('194', '16', '10', '5', '3', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('195', '12', '17', '3', '0', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('196', '8', '1', '5', '3', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('197', '15', '15', '4', '2', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('198', '6', '6', '5', '0', to_date('29.10.2013', 'dd/mm/yyyy'), '22');
INSERT INTO MECZE VALUES ('199', '10', '14', '4', '0', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('200', '5', '6', '4', '0', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('201', '7', '9', '0', '5', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('202', '16', '12', '5', '0', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('203', '11', '11', '4', '4', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('204', '8', '17', '1', '4', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('205', '4', '3', '2', '2', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('206', '2', '15', '3', '5', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('207', '13', '13', '2', '5', to_date('1.11.2013', 'dd/mm/yyyy'), '23');
INSERT INTO MECZE VALUES ('208', '1', '9', '5', '3', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('209', '7', '15', '0', '4', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('210', '13', '5', '1', '3', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('211', '17', '10', '4', '4', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('212', '3', '6', '5', '4', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('213', '2', '14', '4', '0', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('214', '8', '11', '2', '4', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('215', '4', '16', '3', '3', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('216', '12', '12', '3', '1', to_date('8.11.2013', 'dd/mm/yyyy'), '24');
INSERT INTO MECZE VALUES ('217', '9', '10', '4', '0', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('218', '6', '4', '3', '3', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('219', '13', '1', '4', '2', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('220', '3', '17', '1', '2', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('221', '2', '15', '4', '0', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('222', '14', '11', '1', '4', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('223', '8', '12', '0', '4', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('224', '7', '5', '5', '0', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('225', '16', '16', '3', '5', to_date('15.11.2013', 'dd/mm/yyyy'), '25');
INSERT INTO MECZE VALUES ('226', '7', '15', '1', '0', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('227', '13', '5', '2', '0', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('228', '11', '17', '3', '1', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('229', '2', '10', '0', '5', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('230', '12', '6', '3', '1', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('231', '14', '3', '3', '5', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
INSERT INTO MECZE VALUES ('232', '4', '4', '2', '4', to_date('22.11.2013', 'dd/mm/yyyy'), '26');
